Treatment,Species,Veg_biomass,Root_Biomass,Inflor_biomass
D,conjugens,0.0176,0.03997,0
D,ferrisiae,0.0249,0.00876,16.723
D,chrysantha,0.0411,0.01414,14.68
D,gracilis,,,
D,gracilis,0.0181,0.01807,0
D,coulteri,0.041,0.00839,18.627
D,chrysantha,0.036,0.00995,19.741
D,microglossa,0.0208,0.02656,11.67
D,glaberrima,0.0225,0.04198,0
D,ferrisiae,0.0316,0.01536,0
D,debilis,,,
D,glabrata,0.0275,0.03056,0
D,fremontii,,,
F,minor,,0.00064,
F,gracilis,,,
F,platycarpha,,,
F,microglossa,,,
F,conjugens,0.006,0.00459,0
F,gracilis,,,
F,californica,0.0076,0.00164,0
F,microglossa,,,
F,chrysantha,0.0108,0.00372,2.905
F,glaberrima,,0.00267,
F,fremontii,0.0146,0.00719,4.406
F,debilis,,,
F,ferrisiae,,0.03855,
F,platycarpha,,,
F,burkei,,,
F,glabrata,0.0079,0.00273,0
F,chrysantha,0.0102,0.00403,0
F,conjugens,0.0121,0.00906,0
F,fremontii,,0.00047,
F,minor,,,
F,coulteri,0.0142,0.00493,0
F,californica,,,
F,debilis,,0.00034,
F,glaberrima,,,
F,ferrisiae,0.0118,0.00289,0
F,burkei,0.0096,0.0065,0
MD,chrysantha,0.0641,0.0277,28.387
MD,minor,0.0397,0.04682,0
MD,fremontii,0.0313,0.04373,12.422
MD,burkei,0.042226,0.0308,0
MD,minor,0.0303,0.02,21.972
MD,fremontii,,,
MD,burkei,0.030988,0.028,2.935
MD,conjugens,,,
MD,californica,0.029366,0.02978,6.337
MD,platycarpha,0.026,0.0229,26.305
MD,glaberrima,0.033881,0.0103,0
MD,microglossa,0.0271,0.02272,17.96
MD,coulteri,0.0696,0.0182,10.271
MD,ferrisiae,0.0423,0.0085,17.474
MD,ferrisiae,0.0349,0.0254,15.177
MD,gracilis,0.0373,0.01179,21.321
MD,gracilis,,,
MD,platycarpha,0.0385,0.0223,34.673
MD,glabrata,0.1204,0.02512,10.487
MD,chrysantha,0.0348,0.0143,15.37
MD,microglossa,0.0385,0.0424,22.567
MD,debilis,0.0557,0.01549,22.397
MD,glaberrima,0.0384,0.03366,2.699
MD,debilis,0.0467,0.01834,29.846
MD,californica,0.0482,0.0209,0
MD,conjugens,0.049958,0.03616,4.868
B,minor,0.062,0.06714,17.302
B,conjugens,0.0388,0.0549,8.494
B,glaberrima,0.0587,0.08082,4.593
B,coulteri,0.0767,0.0394,12.533
B,ferrisiae,0.051,0.05775,19.44
B,glabrata,0.1585,0.07692,32.975
B,chrysantha,0.0614,0.02386,26.514
B,gracilis,0.0515,0.05808,30.261
B,gracilis,0.0247,0.03067,31.265
B,fremontii,,0.00087,
B,debilis,0.0432,0.04028,26.243
B,microglossa,0.0472,0.03782,27.632
B,debilis,0.0575,0.0403,26.187
B,platycarpha,0.0283,0.02805,35.876
B,chrysantha,0.0654,0.0548,34.017
B,conjugens,0.0322,0.07823,0
B,platycarpha,,,
B,minor,0.0462,0.04545,32.015
B,californica,0.0234,0.02318,7.475
B,ferrisiae,0.0504,0.05301,27.73
B,burkei,0.0373,0.052582,3.65
B,fremontii,,,
B,californica,0.0547,0.05511,11.227
B,burkei,0.0325,0.04609,10.491
B,microglossa,,,
B,glaberrima,0.0087,0.01926,2
F,fremontii,0.0082,0.00691,1.295
F,conjugens,0.0038,0.0047,0
F,ferrisiae,0.0031,,0
F,chrysantha,0.044,0.00225,0
F,burkei,0.004,0.00199,0.07
F,glaberrima,0.0086,0.01365,0
F,conjugens,0.0061,0.00375,0.778
F,microglossa,,,
F,microglossa,,,
F,debilis,,,
F,platycarpha,,0.00175,
F,glabrata,0.0115,0.0058,0
F,burkei,0.0012,0.0022,0
F,ferrisiae,0.012,0.00775,1.612
F,gracilis,,,
F,californica,,0.00027,
F,gracilis,,,
F,coulteri,0.0159,,0.0143
F,chrysantha,0.0194,0.008,1.051
F,californica,,,
F,platycarpha,,,
F,minor,,,
F,debilis,,,
F,minor,,0.00109,
F,fremontii,,,
F,glaberrima,,,
D,minor,0.0144,0.01768,6.546
D,gracilis,0.0113,0.0134,0
D,conjugens,,0.0042,
D,fremontii,,,
D,debilis,0.0161,0.01894,4.683
D,gracilis,0.0045,0.00465,0
D,debilis,0.0112,0.0128,0
D,californica,0.0097,0.00748,0
D,minor,0.0325,0.0212,0
D,ferrisiae,0.0209,0.0063,7.25
D,californica,,,
D,platycarpha,0.0184,0.01501,11.046
D,microglossa,,,
D,microglossa,0.0164,0.0244,7.655
D,platycarpha,0.0169,0.0147,14.851
D,glaberrima,0.0236,0.01407,0
D,conjugens,0.0109,0.00819,0
D,coulteri,0.585,0.02292,0
D,chrysantha,0.0231,0.01298,16.404
D,fremontii,0.0256,0.03105,0
D,chrysantha,0.0322,0.02943,16.56
D,ferrisiae,0.0275,0.01431,0
D,glabrata,0.0315,0.01192,0
D,glaberrima,0.0074,0.0147,0
D,burkei,0.0089,0.0129,0
D,burkei,0.0194,0.02091,0
MD,gracilis,,,
MD,glaberrima,0.0349,0.074092,0
MD,ferrisiae,0.0372,0.0107,17.721
MD,minor,0.0298,0.038446,26.042
MD,coulteri,0.0608,0.036241,11.07
MD,californica,0.0237,0.035614,16.517
MD,fremontii,0.029,0.04472,6.166
MD,debilis,0.0402,0.061695,22.952
MD,californica,0.0381,0.097402,9.545
MD,conjugens,0.0366,0.046934,7.053
MD,microglossa,0.0258,0.034073,17.181
MD,glabrata,0.0773,0.064292,34.311
MD,gracilis,0.0231,0.0181,17.453
MD,fremontii,0.0285,0.058262,14.839
MD,ferrisiae,0.0475,0.029731,0
MD,glaberrima,0.0158,0.053111,0
MD,burkei,0.0288,0.0086,3.169
MD,debilis,,,
MD,burkei,,,
MD,chrysantha,0.0639,0.0056,30.754
MD,platycarpha,0.0288,0.027067,27.96
MD,conjugens,,,
MD,microglossa,,,
MD,chrysantha,0.0562,0.044686,31.728
MD,minor,0.034,0.0075,13.024
MD,platycarpha,0.0248,0.031614,25.924
B,burkei,0.058,0.1036,10.085
B,fremontii,0.0382,0.0974,12.404
B,microglossa,,,
B,californica,0.0212,0.0244,21.379
B,platycarpha,0.0445,0.0535,36.14
B,conjugens,0.0388,0.0661,4.522
B,glabrata,0.0866,0.0796,6.792
B,debilis,0.0452,0.0554,36.494
B,chrysantha,0.0737,0.0629,25.12
B,platycarpha,,,
B,glaberrima,0.0709,0.077,3.045
B,minor,0.0612,0.0629,11.678
B,glaberrima,0.0193,0.0534,0.525
B,burkei,0.025,0.0618,3.349
B,minor,0.0342,0.0478,29.309
B,californica,0.0235,0.0381,9.154
B,conjugens,0.0362,0.0417,11.795
B,fremontii,,,
B,ferrisiae,,,
B,gracilis,0.0219,0.0273,11.414
B,microglossa,,,
B,debilis,0.0117,0.0052,8.22
B,ferrisiae,0.054,0.046,14.409
B,coulteri,0.0773,0.0779,20.427
B,chrysantha,0.0525,0.0448,36.624
B,gracilis,0.0475,0.0508,30.482
MF,debilis,0.0282,0.0228,7.899
MF,glabrata,0.0947,0.064,6.449
MF,glaberrima,0.0421,0.0634,0
MF,microglossa,0.0215,0.0132,13.142
MF,californica,0.0177,0.0279,1.391
MF,conjugens,0.0403,0.049,4.771
MF,gracilis,0.0092,0.0093,0
MF,minor,0.0265,0.0352,4.261
MF,fremontii,0.0327,0.0273,9.585
MF,conjugens,,0.0004,
MF,chrysantha,0.0469,0.0458,13.409
MF,glaberrima,0.0117,0.0195,0
MF,debilis,,0.0006,
MF,ferrisiae,0.0465,0.0442,16.331
MF,coulteri,0.1071,0.0647,9.778
MF,burkei,,0.0011,
MF,gracilis,0.0379,0.0362,12.422
MF,ferrisiae,0.055,0.0373,0
MF,chrysantha,0.046,0.0487,23.172
MF,burkei,0.0387,0.056,0
MF,minor,0.0372,0.0406,0
MF,platycarpha,0.0347,0.0207,19.475
MF,microglossa,0.0002,0.0006,0
MF,platycarpha,0.025,0.0163,18.177
MF,californica,,,
MF,fremontii,,,
MD,fremontii,,,
MD,coulteri,0.0393,0.0291,10.951
MD,ferrisiae,0.0446,0.0289,24.906
MD,chrysantha,0.0753,0.0473,51.11
MD,fremontii,0.0304,0.0499,8.453
MD,debilis,0.0315,0.0456,14.212
MD,californica,0.0101,0.0197,0
MD,conjugens,0.0071,0.0111,0
MD,burkei,0.0215,0.0457,0
MD,platycarpha,0.0263,0.0399,21.73
MD,gracilis,,,
MD,glaberrima,0.0117,0.0667,0
MD,glaberrima,0.0524,0.1034,0
MD,minor,0.0238,0.0306,16.137
MD,burkei,0.0054,0.0159,0
MD,chrysantha,0.0332,0.0427,17.554
MD,debilis,0.0094,0.0123,3.316
MD,minor,0.0393,0.0538,9.418
MD,platycarpha,0.0223,0.035,34.686
MD,conjugens,0.0351,0.0516,9.063
MD,microglossa,0.0268,0.0541,14.855
MD,microglossa,,,
MD,glabrata,0.0631,0.0341,6.617
MD,ferrisiae,0.0493,0.0438,16.466
MD,gracilis,0.0339,0.066,0
F,fremontii,,,
F,microglossa,0.0008,0.0031,0
F,californica,,0.0024,
F,debilis,,,
F,minor,,0.0001,
F,minor,,,
F,microglossa,,0.0001,
F,debilis,,0.0018,
F,burkei,0.0019,0.0022,0
F,gracilis,,,
F,glaberrima,0.0009,0.0026,0
F,ferrisiae,,0.0017,
F,chrysantha,0.0062,0.0049,0
F,gracilis,,0.0308,
F,burkei,0.0106,0.045,0
F,glaberrima,0.0151,0.017,0
F,ferrisiae,0.0058,0.007,0
F,conjugens,0.0075,0.0081,0
F,coulteri,0.0185,0.0084,0
F,chrysantha,0.0129,0.0061,0
F,glabrata,0.0103,0.0052,0
F,fremontii,0.0082,0.0043,0
F,platycarpha,,0.0011,
F,conjugens,0.0093,0.0098,0
F,platycarpha,0.0111,0.0034,0
B,minor,0.0367,0.0361,23.535
B,fremontii,,,
B,gracilis,0.0432,0.0554,13.929
B,chrysantha,0.0458,0.0164,19.23
B,glabrata,0.0639,0.0455,8.038
B,coulteri,0.0682,0.0676,9.618
B,glaberrima,0.0663,0.1058,5.449
B,ferrisiae,0.0548,0.0259,15.327
B,burkei,,,
B,ferrisiae,0.0117,0.0086,5.463
B,minor,0.0246,0.0392,15.897
B,gracilis,,,
B,debilis,0.018,0.0196,10.364
B,microglossa,0.0221,0.0258,11.248
B,microglossa,,,
B,conjugens,,0.0006,
B,chrysantha,0.0544,0.0508,28.713
B,conjugens,0.036,0.0798,4.074
B,platycarpha,0.035,0.0454,11.04
B,platycarpha,0.0352,0.0302,39.895
B,fremontii,0.0472,0.0605,16.525
B,californica,0.0221,0.0249,6.958
B,glaberrima,,0.0023,
B,burkei,,,
B,debilis,0.0456,0.0036,34.643
MF,platycarpha,0.0282,0.0456,9.784
MF,minor,0.0281,0.0285,9.261
MF,platycarpha,0.0312,0.0158,15.933
MF,gracilis,,,
MF,fremontii,,0.0021,
MF,californica,,,
MF,glaberrima,0.0151,0.0255,0
MF,glabrata,0.0374,0.0586,6.348
MF,burkei,,,
MF,burkei,,,
MF,chrysantha,0.0782,0.0524,13.693
MF,gracilis,,,
MF,debilis,0.0481,0.0124,15.603
MF,conjugens,0.0339,0.0483,4.813
MF,ferrisiae,0.0351,0.0412,0
MF,microglossa,0.0152,0.0119,9.826
MF,glaberrima,0.0447,0.0425,0
MF,coulteri,0.0511,0.0547,6.736
MF,microglossa,,,
MF,debilis,,,
MF,conjugens,0.0312,0.029,3.667
MF,minor,0.0391,0.0461,0
MF,ferrisiae,0.0735,0.0197,15.344
MF,chrysantha,0.0477,0.0272,10.423
MF,fremontii,0.0452,0.0369,12.257
D,glabrata,0.0484,0.0448,7.448
D,fremontii,,,
D,debilis,,,
D,gracilis,,,
D,platycarpha,0.0162,0.0154,7.407
D,conjugens,0.0159,0.0359,0
D,minor,0.0211,0.0182,16.974
D,ferrisiae,0.0283,0.0195,0
D,glaberrima,0.006,0.0306,0
D,gracilis,0.0195,0.0198,0
D,microglossa,,,
D,burkei,0.0165,0.0243,0
D,debilis,0.0161,0.0127,6.103
D,coulteri,0.0419,0.012,11.835
D,burkei,0.0191,0.0222,0
D,chrysantha,0.0439,0.0177,23.866
D,californica,,,
D,microglossa,0.0238,0.0333,19.266
D,chrysantha,0.0317,0.015,25.416
D,ferrisiae,0.0476,0.027,21.723
D,glaberrima,0.0309,0.0606,0
D,fremontii,0.0163,0.0174,8.221
D,minor,0.0189,0.0341,0
D,platycarpha,,,
D,conjugens,0.0187,0.0161,0
